video_id,description,username,music_id,final_classification
7319176319558880519,"#انطلاقة_فتح #حركة_فتح #فتح ""هلا بالكوفيه السمرا هلا يا فتحاوية "" ...💛✌️🔥",i8muy,7319176376110926594,Fatah
7315888715123969298,#جنين #💚 #حماس #حمساوـي💚☝️ #تصميم_فيديوهات🎶🎤🎬 #لايك__explore___ #fyp #🔥💗 ,ranem408,7315888768513231617,Hamas
7500541845995392264,#مقاومة #لبنان #القدس #foryou #tiktok #tiktoklongs #فلسطين #tiktokindia ,10_7.hm,7500541877716830977,Hamas
7505739311359282449,#CapCut ,xasahmadxas,7502521875482839825,Fatah
7500491397812817170,,mohamadsheikh45,7446011253354777361,Hamas
7508506538802171143,#اسود_الميدان🦅⚔️ #الأجهزه_الامنيه_الفلسطينيه🇵🇸🥷🤟 #🦅🇵🇸 ,al.s.h.a.y.k.h,7430890699657480992,Fatah
7495853972264144136,,baraa.awad41,7495854029911788305,Hamas
7491600875538976007,حماس💚💚,asaer587,7472970529847184144,Hamas
7499052326724914448,,abo.sltan117,7487565054574463766,Hamas
7499863246040517906,#العاصفة_الفتحاوية #فتحاوي #فتح #فلسطين #حسين_الشيخ #محمود_عباس ,aleasifa.fateh,7351162473527659266,Fatah
7482087578850692360,#العاصفة_الفتحاوية #فتحاوي #فتح #ياسر_عرفات ,aleasifa.fateh,6943683115684514561,Fatah
7497986584025861396,,xasahmadxas,7497986694475778817,Fatah
7491811975677168926,قالوها الحمساوية 🥹💚💚#مخيم_بلاطة #fypシ #اكسبلور #capcut ,besan_hashash13,7491811911848282910,Hamas
7232184842786524418,#شبيبه #انتخابات #جامعه_النجاح_الوطنيه_نابلس #شبيبه_فتحاويه💛 #ابورعد #خازم_ابو_الرعد_اسد #رعدخازم ,j.halabi98,7232184865397984002,Fatah
7473612083465063688,,mohamad.hourani06,7473612137336752913,Hamas
7497209906433477906,#CapCut @اسامه 🩵 #فلسطين #رام_الله #قوات #لامن #لوطني🦅 #وفتخر👑🦅🖤 #✌🏻🇵🇸💪 ,user33153238215808,7407910417651272464,Fatah
7507625869301583120,#رامين ,leen56430,7276698472089783041,Hamas
7398200294280137992,#CapCut ,user6350261677194,7375639616315345669,Hamas
7500673130214608145,,zain.hania4,7482441748090817281,Hamas
7501424850251173127,"حركة حماس 💚🫶🏻 
#fouryou #tiktok #nablus #viral #explore #fyp #CapCut #فلسطينيه #غزة #نابلس #💚💚💚 #القدس_لنا🇵🇸🕌 ",princess_r4k,7495090098002856726,Hamas
7493489650665917703,الله يحميهم #تعلم_على_التيك_توك_مع_عرفات#fyp ,arafatmohammad0,7469855527688293166,Hamas
7504997991112199431,أبني آدم حبيب قلبي 💛,userji6zc4osku,7494116488011041558,Fatah
7184856616288701698,#فتح #مخيم #مخيم_طولكرم #رام #قدس #طولكرم_فلسطين_سلفيت_نابلس_جنين #خليل #نابلسي #نابلسي #جنين_فلسطين #مخيم_جنين ,qusidamere8,7184856603013794562,Fatah
7498836847129300242,#الأجهزة_الأمنية_الفلسطينية #قوات_الامن_الوطني_الفلسطيني ,majde.bolas,7494723530043558698,Fatah
